birga,valin,valout,direction,rates,volume
hot,USDT,PZM,buy,0.022853,70.97
hot,USDT,PZM,buy,0.0230815,102.48
hot,USDT,PZM,buy,0.0233123,153.35
hot,USDT,PZM,buy,0.02333,9607.15
hot,USDT,PZM,buy,0.0235454,9666.81
hot,PZM,USDT,sell,0.0224048,205.56
hot,PZM,USDT,sell,0.0221829,268.36
hot,PZM,USDT,sell,0.0219633,444.8
hot,PZM,USDT,sell,0.0217458,512.63
hot,PZM,USDT,sell,0.0216,1212.63
