birga,valin,valout,direction,rates,volume
hot,BTC,PZM,buy,0.0000021,71.58
hot,BTC,PZM,buy,0.0000022,363.46999999999997
hot,BTC,PZM,buy,0.0000023,5102.58
hot,BTC,PZM,buy,0.0000024,8333.02
hot,BTC,PZM,buy,0.0000025,17854.83
hot,PZM,BTC,sell,0.000002,15343.17
hot,PZM,BTC,sell,0.0000019,17067.73
hot,PZM,BTC,sell,0.0000018,17900.149999999998
hot,PZM,BTC,sell,0.0000017,19337.489999999998
hot,PZM,BTC,sell,0.0000016,26664.35
