birga_x,valin_x,valout_x,direction_x,rates_x,volume_x,Com_x,birga_y,valin_y,valout_y,direction_y,rates_y,volume_y,Com_y,Bal1,Bal2,volume,Vol1,Vol2,Vol3,Vol4,profit,percent,regim,min_A,new_kurs,My_kurs,Vol5,prof,per,New_per
alfa,USD,PZM,buy,0.0211,26736.61651444,0.2,live,PZM,USD,sell,0.02087,286.68362429,0.18,39823.195818009466,12549.45140858,286.68362429,6.049024472518999,286.68362429,286.11025704142,5.960373046538418,-0.08865142598058284,-1.4655491374407623,1,370.0,0.02115,0.021044249999999997,6.010138020345764,-0.0388864521732355,-0.6428549322274768,2.0
live,USD,PZM,buy,0.02115,145.0,0.18,alfa,PZM,USD,sell,0.0208,37654.77322596,0.2,0.2563462553191489,22340.27017956,0.2563462553191489,0.0054314824019399965,0.2563462553191489,0.2563462553191489,0.00532133810641702,-0.000110144295522978,-2.027886447420635,2,370.0,0.0211,0.0209945,0.005371097734383276,-6.038466755672184e-05,-1.111752981748663,0.5
