birga,valin,valout,direction,rates,volume
live,USD,PZM,buy,0.02129,140.9376
live,USD,PZM,buy,0.32000000,5180.94198592
live,USD,PZM,buy,0.02127,5643.85319662
live,USD,PZM,buy,0.02138,5707.36489178
live,USD,PZM,buy,0.02600000,6666.36489178
live,PZM,USD,sell,0.02087,286.68362429
live,PZM,USD,sell,0.02066,515.63585613
live,PZM,USD,sell,0.02065,2132.92830794
live,PZM,USD,sell,0.02064,10530.78620794
live,PZM,USD,sell,0.0206,10937.09078203
