index,birga_x,valin_x,valout_x,direction_x,rates_x,volume_x,Com_x,birga_y,valin_y,valout_y,direction_y,rates_y,volume_y,Com_y,Bal1,Bal2,volume,Vol1,Vol2,Vol3,Vol4,profit,percent
0,alfa,USD,PZM,buy,0.0211,27011.68651444,0.2,alfa,PZM,USD,sell,0.0209,74366.80933923,0.2,39823.19581800947,22340.27017956,22340.27017956,471.37970078871604,22340.27017956,22295.58963920088,465.04586781237975,-6.333832976336282,-1.343679620853097
1,alfa,USD,PZM,buy,0.0211,27011.68651444,0.2,alfa,PZM,USD,sell,0.0208,75510.66910365001,0.2,39823.19581800947,22340.27017956,22340.27017956,471.37970078871604,22340.27017956,22295.58963920088,462.82076796638756,-8.558932822328472,-1.815719431279625
2,alfa,USD,PZM,buy,0.0211,27011.68651444,0.2,live,PZM,USD,sell,0.02087,286.68362429,0.18,39823.19581800947,12549.45140858,286.68362429,6.049024472519,286.68362429,286.11025704142,5.960373046538417,-0.08865142598058284,-1.4655491374407625
3,alfa,USD,PZM,buy,0.0211,27011.68651444,0.2,live,PZM,USD,sell,0.02066,515.63585613,0.18,39823.19581800947,12549.45140858,515.63585613,10.879916564343,515.63585613,514.6045844177399,10.612593598785182,-0.26732296555781865,-2.45703139336493
4,alfa,USD,PZM,buy,0.0211,27011.68651444,0.2,live,PZM,USD,sell,0.02065,2132.92830794,0.18,39823.19581800947,12549.45140858,2132.92830794,45.00478729753401,2132.92830794,2128.6624513241204,43.87775723652737,-1.1270300610066357,-2.504244834123214
5,alfa,USD,PZM,buy,0.0211,27011.68651444,0.2,live,PZM,USD,sell,0.02064,10530.78620794,0.18,39823.19581800947,12549.45140858,10530.78620794,222.199588987534,10530.78620794,10509.72463552412,216.53025918755884,-5.6693297999751735,-2.551458274881525
6,alfa,USD,PZM,buy,0.0211,27011.68651444,0.2,live,PZM,USD,sell,0.0206,10937.09078203,0.18,39823.19581800947,12549.45140858,10937.09078203,230.772615500833,10937.09078203,10915.21660046594,224.44872573805307,-6.323889762779942,-2.740312037914704
7,alfa,USD,PZM,buy,0.0213,29348.13510444,0.2,alfa,PZM,USD,sell,0.0209,74366.80933923,0.2,39449.269096713615,22340.27017956,22340.27017956,475.847754824628,22340.27017956,22295.58963920088,465.04586781237975,-10.801887012248244,-2.270030046948365
8,alfa,USD,PZM,buy,0.0213,29348.13510444,0.2,alfa,PZM,USD,sell,0.0208,75510.66910365001,0.2,39449.269096713615,22340.27017956,22340.27017956,475.847754824628,22340.27017956,22295.58963920088,462.82076796638756,-13.026986858240434,-2.7376375586854422
9,alfa,USD,PZM,buy,0.0213,29348.13510444,0.2,live,PZM,USD,sell,0.02087,286.68362429,0.18,39449.269096713615,12549.45140858,286.68362429,6.106361197377,286.68362429,286.11025704142,5.960373046538417,-0.14598815083858252,-2.39075524882629
